Hip,Hab?,Display Name,Spectral Class,Distance,Xg,Yg,Zg,AbsMag
41060,,Hip 41060,K0III,136.2,-102.7,45.3,77.2,0.7484803
62232,,Hip 62232,A3IV/V,136.2,58.6,-96.4,76.4,1.1084803
67779,1,BD+08°2779,,136.2,53.3,-16.2,124.3,10.18
73156,,Hip 73156,A1V,136.2,58,31.9,119.1,0.8284803
74100,,Hip 74100,B7V,136.2,112.5,-70.2,31.1,0.1784803
79929,1,BD+53°1861,,136.2,12.8,97.3,94.5,8.94
84689,1,Hip 84689,,136.2,130.8,-37.1,-9.3,9.44
87405,,Hip 87405,A3,136.2,11.7,116.9,69,1.3684803
88719,1,BD-11°4535,,136.2,129.5,41.1,10.6,9.16
89070,,Hip 89070,A2,136.2,91.5,92.7,40,1.6584803
96327,,37 Aquilae,G8III,136.2,116.2,62.6,-34,-0.5515197
101731,1,Hip 101731,,136.2,98.7,-49.1,-80,10.09
105266,,Hip 105266,K1III,136.2,96.6,-12.8,-95.2,0.9884803
106101,1,BD-20°6219,,136.2,85.1,50.6,-93.6,8.84
109460,,Hip 109460,K0,136.2,59.6,67,-102.6,0.9684803
117357,1,Hip 117357,,136.2,38.5,-4.3,-130.6,10.36
2114,1,Hip 2114,,136.4,25.6,-18.8,-132.7,9.11
3831,1,BD+65°97,,136.4,-73.6,114.6,7.6,9.02
7100,,Hip 7100,G6/G8III,136.4,-13.1,-17.6,-134.7,0.945519873
7966,1,BD+19°278,,136.4,-77.6,68,-89.2,9.05
10383,1,BD-10°455,,136.4,-59.2,4.6,-122.8,8.62
12105,,Hip 12105,G8/K0III+..,136.4,-51.1,-24,-124.2,1.395519873
17549,,Hip 17549,A0,136.4,-121,58.4,-23.8,1.215519873
20037,,Hip 20037,B8,136.4,-103.9,83.9,28,1.215519873
26661,,Hip 26661,G8III,136.4,57.3,-105.5,-64.7,1.095519873
26855,1,Hip 26855,,136.4,5.3,-115.9,-71.8,9.84
28433,,Hip 28433,B9,136.4,-130.7,-37.1,-12.6,1.125519873
31886,,Hip 31886,K1IIICN...,136.4,-50.5,-119.2,-43.2,0.915519873
34737,,Hip 34737,F0,136.4,-117.2,39.8,57.4,1.665519873
36306,,Hip 36306,K0,136.4,-108.9,51.4,64.1,1.665519873
36819,1,BD+45°1448,,136.4,-121.9,13.2,59.9,9.65
47226,,Hip 47226,K1III,136.4,-22.1,-128.9,38.9,1.345519873
49758,1,BD+15°2168,,136.4,-64.3,-58,105.4,9.14
50399,1,BD+69°566,,136.4,-77.7,63.6,92.4,9.78
50915,,Hip 50915,K2III,136.4,-66.1,-33.8,114.4,1.085519873
52014,1,BD+05°2362,,136.4,-40.6,-75.1,106.4,9.67
53616,1,BD+16°2193,,136.4,-41.3,-51,119.6,9.12
54369,1,BD+35°2211,,136.4,-54,-7,125.1,9.3
64994,,Hip 64994,K3III,136.4,77.4,-110.1,-22,0.365519873
